1236A	2-3-dihydroxybenzoate_biosynthesis	aromatic_compound_biosynthesis
1236A	2-carboxy-1-4-naphthoquinol_biosynthesis	carbohydrate_synthesis
1236A	2-oxoglutarate_decarboxylation_to_succinyl-CoA	respiration
1236A	3-4-hydroxyphenylpyruvate_biosynthesis	aromatic_compound_biosynthesis
1236A	3-dehydroquinate_biosynthesis	aromatic_compound_biosynthesis
1236A	3-HBP	3-HBP
1236A	4-aminobenzoate_biosynthesis	amine_and_polyamine_biosynthesis
1236A	8-amino-7-oxononanoate_biosynthesis	other_biosynthesis
1236A	acetate_conversion_to_acetyl-CoA	carboxylate_degradation
1236A	acrylonitrile_degradation	other_degradation
1236A	aerobic_respiration	respiration
1236A	alanine_racemization	amino_acid_biosynthesis
1236A	aromatic_biogenic_amine_degradation_bacteria	amine_and_polyamine_degradation
1236A	benzoate_degradation	aromatic_compound_degradation
1236A	benzoyl-CoA_degradation	aromatic_compound_degradation
1236A	beta-alanine_biosynthesis	amino_acid_biosynthesis
1236A	choline_degradation	amine_and_polyamine_degradation
1236A	chorismate_biosynthesis_from_3-dehydroquinate	aromatic_compound_biosynthesis
1236A	CMP-3-deoxy-D-manno-octulosonate_biosynthesis	carbohydrate_biosynthesis
1236A	CODH_anaerobic	carbon_monoxide_oxidation
1236A	dissimilatory_sulfate_reduction	sulfur_compound_metabolism
1236A	ethanol_degradation	alcohol_degradation
1236A	formaldehyde_oxidation	c1_compound_metabolism
1236A	formate_oxidation_to_CO2	c1_compound_metabolism
1236A	gluconeogenesis	carbohydrate_biosynthesis
1236A	glycine_betaine_biosynthesis	amine_and_polyamine_biosynthesis
1236A	glycine_biosynthesis	amino_acid_biosynthesis
1236A	glycine_cleavage	amino_acid_degradation
1236A	glycogen_biosynthesis	carbohydrate_biosynthesis
1236A	glycogen_degradation	carbohydrate_degradation
1236A	glycolate_and_glyoxylate_degradation	carboxylate_degradation
1236A	glycolysis	glycolysis
1236A	heptadecane_biosynthesis	carbohydrate_biosynthesis
1236A	histamine_biosynthesis	amine_and_polyamine_biosynthesis
1236A	indole-3-acetate_biosynthesis_IV_bacteria	aromatic_compound_biosynthesis
1236A	L-alanine_biosynthesis	amino_acid_biosynthesis
1236A	L-arginine_biosynthesis	amino_acid_biosynthesis
1236A	L-asparagine_biosynthesis	amino_acid_biosynthesis
1236A	L-aspartate_biosynthesis	amino_acid_biosynthesis
1236A	L-aspartate_degradation	amino_acid_degradation
1236A	L-carnitine_degradation	amino_acid_degradation
1236A	L-citrulline_degradation	amino_acid_degradation
1236A	L-cysteine_biosynthesis	amino_acid_biosynthesis
1236A	L-glutamate_biosynthesis	amino_acid_biosynthesis
1236A	L-glutamate_degradation	amino_acid_degradation
1236A	L-glutamine_biosynthesis	amino_acid_biosynthesis
1236A	L-glutamine_degradation	amino_acid_biosynthesis
1236A	L-glutamine_degradation	amino_acid_degradation
1236A	L-histidine_biosynthesis	amino_acid_biosynthesis
1236A	L-homocysteine_biosynthesis	amino_acid_biosynthesis
1236A	L-homoserine_biosynthesis	amino_acid_biosynthesis
1236A	L-isoleucine_biosynthesis	amino_acid_biosynthesis
1236A	L-isoleucine_biosynthesis	amino_acid_degradation
1236A	L-isoleucine_degradation	amino_acid_degradation
1236A	L-leucine_biosynthesis	amino_acid_biosynthesis
1236A	L-lysine_biosynthesis	amino_acid_biosynthesis
1236A	L-methionine_degradation	amino_acid_degradation
1236A	L-ornithine_biosynthesis	amino_acid_biosynthesis
1236A	L-phenylalanine_biosynthesis	amino_acid_biosynthesis
1236A	L-phenylalanine_degradation	amino_acid_degradation
1236A	L-proline_biosynthesis	amino_acid_biosynthesis
1236A	L-serine_biosynthesis	amino_acid_biosynthesis
1236A	L-threonine_biosynthesis	amino_acid_biosynthesis
1236A	L-tryptophan_biosynthesis	amino_acid_biosynthesis
1236A	L-tyrosine_biosynthesis	amino_acid_biosynthesis
1236A	L-tyrosine_degradation	amino_acid_degradation
1236A	L-valine_biosynthesis	amino_acid_biosynthesis
1236A	myo-inositol_biosynthesis	sugar_alcohol_biosynthesis
1236A	NADH_to_dimethyl_sulfoxide_electron_transfer	respiration
1236A	NADH_to_fumarate_electron_transfer	respiration
1236A	nitrate_reduction	nitrogen_compound_metabolism
1236A	pentose_phosphate_pathway_non-oxidative_branch	carbohydrate_degradation
1236A	PHA_synthesis	carbohydrate_biosynthesis
1236A	propanoyl_CoA_degradation	carboxylate_degradation
1236A	protocatechuate_degradation	aromatic_compound_degradation
1236A	PRPP_biosynthesis	sugar_biosynthesis
1236A	putrescine_biosynthesis	amine_and_polyamine_biosynthesis
1236A	pyruvate_decarboxylation_to_acetyl_CoA	carboxylate_degradation
1236A	pyruvate_fermentation_to_propanoate	fermentation
1236A	spermidine_biosynthesis	amine_and_polyamine_biosynthesis
1236A	sulfate_activation_for_sulfonation	sulfur_compound_metabolism
1236A	sulfide_oxidation	sulfur_compound_metabolism
1236A	sulfite_oxidation	sulfur_compound_metabolism
1236A	sulfur_reduction	sulfur_compound_metabolism
1236A	TCA_cycle	tca_cycle
1236A	thiosulfate_disproportionation	sulfur_compound_metabolism
1236A	urea_cycle	nitrogen_compound_metabolism
1236B	2-3-dihydroxybenzoate_biosynthesis	aromatic_compound_biosynthesis
1236B	2-carboxy-1-4-naphthoquinol_biosynthesis	carbohydrate_synthesis
1236B	2-methylcitrate_cycle	carboxylate_degradation
1236B	2-oxoglutarate_decarboxylation_to_succinyl-CoA	respiration
1236B	3-4-hydroxyphenylpyruvate_biosynthesis	aromatic_compound_biosynthesis
1236B	3-dehydroquinate_biosynthesis	aromatic_compound_biosynthesis
1236B	3-HBP	3-HBP
1236B	4-aminobenzoate_biosynthesis	amine_and_polyamine_biosynthesis
1236B	8-amino-7-oxononanoate_biosynthesis	other_biosynthesis
1236B	acetate_conversion_to_acetyl-CoA	carboxylate_degradation
1236B	acrylonitrile_degradation	other_degradation
1236B	aerobic_respiration	respiration
1236B	alanine_racemization	amino_acid_biosynthesis
1236B	benzoate_degradation	aromatic_compound_degradation
1236B	benzoyl-CoA_degradation	aromatic_compound_degradation
1236B	beta-alanine_biosynthesis	amino_acid_biosynthesis
1236B	chorismate_biosynthesis_from_3-dehydroquinate	aromatic_compound_biosynthesis
1236B	CMP-3-deoxy-D-manno-octulosonate_biosynthesis	carbohydrate_biosynthesis
1236B	CODH_aerobic	carbon_monoxide_oxidation
1236B	CODH_anaerobic	carbon_monoxide_oxidation
1236B	D-galactarate_degradation	carboxylate_degradation
1236B	D-glucarate_degradation	carboxylate_degradation
1236B	dissimilatory_sulfate_reduction	sulfur_compound_metabolism
1236B	ethanol_degradation	alcohol_degradation
1236B	formate_oxidation_to_CO2	c1_compound_metabolism
1236B	gluconeogenesis	carbohydrate_biosynthesis
1236B	glycine_biosynthesis	amino_acid_biosynthesis
1236B	glycine_cleavage	amino_acid_degradation
1236B	glycogen_biosynthesis	carbohydrate_biosynthesis
1236B	glycogen_degradation	carbohydrate_degradation
1236B	glycolate_and_glyoxylate_degradation	carboxylate_degradation
1236B	glycolysis	glycolysis
1236B	heptadecane_biosynthesis	carbohydrate_biosynthesis
1236B	indole-3-acetate_biosynthesis_IV_bacteria	aromatic_compound_biosynthesis
1236B	L-alanine_biosynthesis	amino_acid_biosynthesis
1236B	L-alanine_degradation	amino_acid_degradation
1236B	L-arginine_biosynthesis	amino_acid_biosynthesis
1236B	L-asparagine_biosynthesis	amino_acid_biosynthesis
1236B	L-aspartate_biosynthesis	amino_acid_biosynthesis
1236B	L-aspartate_degradation	amino_acid_degradation
1236B	L-carnitine_degradation	amino_acid_degradation
1236B	L-citrulline_degradation	amino_acid_degradation
1236B	L-cysteine_biosynthesis	amino_acid_biosynthesis
1236B	L-glutamate_biosynthesis	amino_acid_biosynthesis
1236B	L-glutamate_degradation	amino_acid_degradation
1236B	L-glutamine_biosynthesis	amino_acid_biosynthesis
1236B	L-glutamine_degradation	amino_acid_biosynthesis
1236B	L-glutamine_degradation	amino_acid_degradation
1236B	L-histidine_biosynthesis	amino_acid_biosynthesis
1236B	L-homocysteine_biosynthesis	amino_acid_biosynthesis
1236B	L-homoserine_biosynthesis	amino_acid_biosynthesis
1236B	L-isoleucine_biosynthesis	amino_acid_biosynthesis
1236B	L-isoleucine_biosynthesis	amino_acid_degradation
1236B	L-isoleucine_degradation	amino_acid_degradation
1236B	L-leucine_biosynthesis	amino_acid_biosynthesis
1236B	L-lysine_biosynthesis	amino_acid_biosynthesis
1236B	L-methionine_degradation	amino_acid_degradation
1236B	L-ornithine_biosynthesis	amino_acid_biosynthesis
1236B	L-phenylalanine_biosynthesis	amino_acid_biosynthesis
